threshold_sigma,precision,recall,f1
1.50,0.9812,0.3744,0.5420
1.75,0.9807,0.3920,0.5602
2.00,0.9808,0.3959,0.5641
2.25,0.9810,0.3981,0.5664
2.50,0.9811,0.4003,0.5686
2.75,0.9811,0.4014,0.5697
3.00,0.9811,0.4014,0.5697
